Classifier,F1Score,Accuracy,Precision,Recall,Execution Time (s)
tree,0.743,0.793,0.812,0.963,35.672
naive_bayes,0.428,0.388,0.762,0.335,2.89
lda,0.697,0.721,0.798,0.87,22.928
logistic_regression,0.743,0.802,0.811,0.981,14.042
perceptron,0.72,0.794,0.801,0.986,3.326
svm,0.72,0.799,0.801,0.995,104.986
